epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0568,1.2296,2.30192,1.11346,0,0,0,0,0,0,0,0.000654971,0.000654971,0.000654971
2,23.9165,1.12733,1.32115,1.01999,0,0,0,0,0,0,0,0.00129547,0.00129547,0.00129547
3,34.4737,1.12926,1.1149,1.00416,0,0,0,0,0,0,0,0.00190957,0.00190957,0.00190957
4,44.9157,1.11265,0.95494,1.01955,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
5,55.4001,1.13078,0.8544,1.01266,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
6,66.0381,1.05053,0.77353,0.98391,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,76.6507,1.06027,0.75507,1.00595,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,87.2356,1.03054,0.70109,0.98904,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,97.9567,1.01821,0.67096,0.97569,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,108.891,0.98358,0.63521,0.95622,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,119.652,1.00094,0.61922,0.96883,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,130.394,0.98796,0.60077,0.96688,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,144.185,0.9817,0.59795,0.95746,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,156.522,0.9512,0.58651,0.94709,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,168.347,0.93236,0.55764,0.95188,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,179.972,0.9437,0.55743,0.95758,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,191.492,0.94846,0.54968,0.94685,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,202.948,0.94411,0.55468,0.9435,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,214.219,0.95515,0.54736,0.95529,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,226.672,0.90702,0.52887,0.94372,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,238.862,0.8957,0.51593,0.93482,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,250.182,0.8807,0.50897,0.93471,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,261.678,0.89823,0.5108,0.92964,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,273.021,0.86631,0.48906,0.9311,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,284.699,0.86326,0.49,0.91858,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,296.407,0.85035,0.47962,0.92222,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,307.781,0.86118,0.48385,0.92011,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,319.457,0.8441,0.4746,0.92296,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,330.914,0.84218,0.46588,0.91522,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,342.813,0.84296,0.468,0.92042,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,353.982,0.79979,0.45136,0.9026,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,364.53,0.82936,0.44714,0.91095,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,375.456,0.80059,0.44134,0.90399,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,386.606,0.79476,0.4399,0.91139,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,398.094,0.80162,0.44066,0.90859,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,410.457,0.79354,0.42998,0.9054,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,423.049,0.80449,0.43518,0.90541,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,435.628,0.77505,0.42666,0.89849,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,447.322,0.78649,0.43407,0.88746,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,458.668,0.7824,0.42295,0.90911,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,505.743,0.73532,0.37832,0.88439,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,517.001,0.73558,0.37358,0.87578,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,528.295,0.70731,0.36403,0.87532,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,539.029,0.70969,0.36463,0.87456,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,549.484,0.68019,0.35058,0.86759,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,561.48,0.68524,0.35142,0.86831,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,572.799,0.67326,0.35328,0.8674,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,584.335,0.64162,0.33245,0.85701,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,595.755,0.65738,0.33587,0.85862,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,619.362,0.65081,0.33242,0.85834,0.99974,1,0.995,0.86326,0.62924,0.3137,0.83841,5.96e-05,5.96e-05,5.96e-05
